Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Units in structure,Rent,Household income
T18C_est1,2016,4215,462,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Total,Total: Renter occupied,All,All,NA
T18C_est2,2016,2410,334,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,One unit in structure,All,All
T18C_est3,2016,455,145,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,One unit in structure,less than or equal to RHUD30,All
T18C_est4,2016,140,99,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,less than or equal to 30% of HAMFI
T18C_est5,2016,40,31,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est6,2016,65,44,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est7,2016,50,44,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est8,2016,165,88,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 100% of HAMFI
T18C_est9,2016,450,169,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,All
T18C_est10,2016,110,78,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,less than or equal to 30% of HAMFI
T18C_est11,2016,110,91,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est12,2016,155,117,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est13,2016,35,30,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est14,2016,40,35,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 100% of HAMFI
T18C_est15,2016,1220,242,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,All
T18C_est16,2016,210,96,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,less than or equal to 30% of HAMFI
T18C_est17,2016,235,109,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est18,2016,215,102,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est19,2016,145,83,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est20,2016,420,166,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 100% of HAMFI
T18C_est21,2016,285,106,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,One unit in structure,greater than RHUD80,All
T18C_est22,2016,30,39,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD80,less than or equal to 30% of HAMFI
T18C_est23,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est24,2016,15,20,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est25,2016,80,64,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est26,2016,165,68,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,One unit in structure,greater than RHUD80,greater than 100% of HAMFI
T18C_est27,2016,420,169,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,2 to 4 units in structure,All,All
T18C_est28,2016,35,29,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,2 to 4 units in structure,less than or equal to RHUD30,All
T18C_est29,2016,20,19,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,less than or equal to RHUD30,less than or equal to 30% of HAMFI
T18C_est30,2016,15,24,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,less than or equal to RHUD30,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est31,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,less than or equal to RHUD30,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est32,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,less than or equal to RHUD30,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est33,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,less than or equal to RHUD30,greater than 100% of HAMFI
T18C_est34,2016,130,104,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,2 to 4 units in structure,greater than RHUD30 and less than or equal to RHUD50,All
T18C_est35,2016,70,75,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD30 and less than or equal to RHUD50,less than or equal to 30% of HAMFI
T18C_est36,2016,15,26,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est37,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est38,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est39,2016,45,63,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 100% of HAMFI
T18C_est40,2016,160,99,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,2 to 4 units in structure,greater than RHUD50 and less than or equal to RHUD80,All
T18C_est41,2016,40,35,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD50 and less than or equal to RHUD80,less than or equal to 30% of HAMFI
T18C_est42,2016,80,90,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est43,2016,10,17,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est44,2016,4,11,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est45,2016,25,24,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD50 and less than or equal to RHUD80,greater than 100% of HAMFI
T18C_est46,2016,95,105,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,2 to 4 units in structure,greater than RHUD80,All
T18C_est47,2016,20,39,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD80,less than or equal to 30% of HAMFI
T18C_est48,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est49,2016,4,4,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est50,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est51,2016,75,90,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,2 to 4 units in structure,greater than RHUD80,greater than 100% of HAMFI
T18C_est52,2016,365,89,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,5 or more units in structure,All,All
