Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Race/ethnicity,Cost burden
T9_est1,2016,13820,537,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Total,Total: Occupied housing units,All,All
T9_est2,2016,9605,523,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Owner occupied,All,All
T9_est3,2016,6960,352,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Owner occupied,"White alone, non-Hispanic",All
T9_est4,2016,5410,315,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"White alone, non-Hispanic",less than or equal to 30%
T9_est5,2016,885,176,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"White alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est6,2016,580,156,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"White alone, non-Hispanic",greater than 50%
T9_est7,2016,80,59,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"White alone, non-Hispanic",not computed (no/negative income)
T9_est8,2016,2225,296,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Owner occupied,"Black or African-American alone, non-Hispanic",All
T9_est9,2016,1605,277,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",less than or equal to 30%
T9_est10,2016,300,137,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est11,2016,205,100,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",greater than 50%
T9_est12,2016,115,92,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",not computed (no/negative income)
T9_est13,2016,10,15,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Owner occupied,"Asian alone, non-Hispanic",All
T9_est14,2016,10,15,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Asian alone, non-Hispanic",less than or equal to 30%
T9_est15,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Asian alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est16,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Asian alone, non-Hispanic",greater than 50%
T9_est17,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Asian alone, non-Hispanic",not computed (no/negative income)
T9_est18,2016,50,43,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",All
T9_est19,2016,30,38,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",less than or equal to 30%
T9_est20,2016,15,22,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est21,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 50%
T9_est22,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",not computed (no/negative income)
T9_est23,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Owner occupied,"Pacific Islander alone, non-Hispanic",All
T9_est24,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",less than or equal to 30%
T9_est25,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est26,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",greater than 50%
T9_est27,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",not computed (no/negative income)
T9_est28,2016,275,137,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Owner occupied,"Hispanic, any race",All
T9_est29,2016,175,76,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Hispanic, any race",less than or equal to 30%
T9_est30,2016,65,88,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Hispanic, any race",greater than 30% but less than or equal to 50%
T9_est31,2016,35,35,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Hispanic, any race",greater than 50%
T9_est32,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"Hispanic, any race",not computed (no/negative income)
T9_est33,2016,90,47,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Owner occupied,"other (including multiple races, non-Hispanic)",All
T9_est34,2016,65,46,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",less than or equal to 30%
T9_est35,2016,10,17,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",greater than 30% but less than or equal to 50%
T9_est36,2016,10,14,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",greater than 50%
T9_est37,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Owner occupied,"other (including multiple races, non-Hispanic)",not computed (no/negative income)
T9_est38,2016,4215,462,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,All,All
T9_est39,2016,2150,336,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,"White alone, non-Hispanic",All
T9_est40,2016,1425,285,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"White alone, non-Hispanic",less than or equal to 30%
T9_est41,2016,300,100,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"White alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est42,2016,305,120,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"White alone, non-Hispanic",greater than 50%
T9_est43,2016,115,79,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"White alone, non-Hispanic",not computed (no/negative income)
T9_est44,2016,1625,263,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,"Black or African-American alone, non-Hispanic",All
T9_est45,2016,590,183,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",less than or equal to 30%
T9_est46,2016,500,196,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est47,2016,435,151,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",greater than 50%
T9_est48,2016,105,81,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Black or African-American alone, non-Hispanic",not computed (no/negative income)
T9_est49,2016,20,23,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,"Asian alone, non-Hispanic",All
T9_est50,2016,15,23,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Asian alone, non-Hispanic",less than or equal to 30%
T9_est51,2016,4,4,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Asian alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est52,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Asian alone, non-Hispanic",greater than 50%
T9_est53,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Asian alone, non-Hispanic",not computed (no/negative income)
T9_est54,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",All
T9_est55,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",less than or equal to 30%
T9_est56,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est57,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 50%
T9_est58,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"American Indian or Alaska Native alone, non-Hispanic",not computed (no/negative income)
T9_est59,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,"Pacific Islander alone, non-Hispanic",All
T9_est60,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",less than or equal to 30%
T9_est61,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est62,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",greater than 50%
T9_est63,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Pacific Islander alone, non-Hispanic",not computed (no/negative income)
T9_est64,2016,395,100,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,"Hispanic, any race",All
T9_est65,2016,185,90,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Hispanic, any race",less than or equal to 30%
T9_est66,2016,125,89,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Hispanic, any race",greater than 30% but less than or equal to 50%
T9_est67,2016,80,59,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Hispanic, any race",greater than 50%
T9_est68,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"Hispanic, any race",not computed (no/negative income)
T9_est69,2016,25,21,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Subtotal,Renter occupied,"other (including multiple races, non-Hispanic)",All
T9_est70,2016,20,21,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",less than or equal to 30%
T9_est71,2016,4,8,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",greater than 30% but less than or equal to 50%
T9_est72,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",greater than 50%
T9_est73,2016,0,25,2012thru2016,050,05000US51001,Accomack County, Virginia,51,001,51001,Detail,Renter occupied,"other (including multiple races, non-Hispanic)",not computed (no/negative income)
T9_est1,2016,39430,688,2012thru2016,050,05000US51003,Albemarle County, Virginia,51,003,51003,Total,Total: Occupied housing units,All,All
T9_est2,2016,25585,636,2012thru2016,050,05000US51003,Albemarle County, Virginia,51,003,51003,Subtotal,Owner occupied,All,All
