state,fips_state,fips_locality,fips_full,name_long,name_short,cbsa_code,metropolitan_div_code,cbsa_title,central_outlying,pdc,pdc2,metro_micro_nonmetro
Virginia,51,1,51001,Accomack County,Accomack,,,Non-Metro,,Accomack-Northampton,,Non-Metro
Virginia,51,3,51003,Albemarle County,Albemarle,16820,,"Charlottesville, VA",Central,Thomas Jefferson,,Metropolitan Statistical Area
Virginia,51,5,51005,Alleghany County,Alleghany,,,Non-Metro,,Roanoke Valley-Alleghany,,Non-Metro
Virginia,51,7,51007,Amelia County,Amelia,40060,,"Richmond, VA",Outlying,Commonwealth Regional Council,,Metropolitan Statistical Area
Virginia,51,9,51009,Amherst County,Amherst,31340,,"Lynchburg, VA",Central,Central Virginia,,Metropolitan Statistical Area
Virginia,51,11,51011,Appomattox County,Appomattox,31340,,"Lynchburg, VA",Outlying,Central Virginia,,Metropolitan Statistical Area
Virginia,51,13,51013,Arlington County,Arlington,47900,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,Northern Virginia,,Metropolitan Statistical Area
Virginia,51,15,51015,Augusta County,Augusta,44420,,"Staunton, VA",Central,Central Shenandoah,,Metropolitan Statistical Area
Virginia,51,17,51017,Bath County,Bath,,,Non-Metro,,Central Shenandoah,,Non-Metro
Virginia,51,19,51019,Bedford County,Bedford,31340,,"Lynchburg, VA",Central,Central Virginia,,Metropolitan Statistical Area
Virginia,51,21,51021,Bland County,Bland,14140,,"Bluefield, WV-VA",Outlying,Mount Rogers,,Micropolitan Statistical Area
Virginia,51,23,51023,Botetourt County,Botetourt,40220,,"Roanoke, VA",Central,Roanoke Valley-Alleghany,,Metropolitan Statistical Area
Virginia,51,25,51025,Brunswick County,Brunswick,,,Non-Metro,,Southside,,Non-Metro
Virginia,51,27,51027,Buchanan County,Buchanan,,,Non-Metro,,Cumberland Plateau,,Non-Metro
Virginia,51,29,51029,Buckingham County,Buckingham,,,Non-Metro,,Commonwealth Regional Council,,Non-Metro
Virginia,51,31,51031,Campbell County,Campbell,31340,,"Lynchburg, VA",Central,Central Virginia,,Metropolitan Statistical Area
Virginia,51,33,51033,Caroline County,Caroline,,,Non-Metro,,George Washington,,Non-Metro
Virginia,51,35,51035,Carroll County,Carroll,,,Non-Metro,,Mount Rogers,,Non-Metro
Virginia,51,36,51036,Charles City County,Charles City,40060,,"Richmond, VA",Outlying,PlanRVA,Crater,Metropolitan Statistical Area
Virginia,51,37,51037,Charlotte County,Charlotte,,,Non-Metro,,Commonwealth Regional Council,,Non-Metro
Virginia,51,41,51041,Chesterfield County,Chesterfield ,40060,,"Richmond, VA",Central,PlanRVA,Crater,Metropolitan Statistical Area
Virginia,51,43,51043,Clarke County,Clarke,47900,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,Northern Shenandoah,,Metropolitan Statistical Area
Virginia,51,45,51045,Craig County,Craig,40220,,"Roanoke, VA",Outlying,Roanoke Valley-Alleghany,,Metropolitan Statistical Area
Virginia,51,47,51047,Culpeper County,Culpeper,47900,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Outlying,Rappahannock-Rapidan,,Metropolitan Statistical Area
Virginia,51,49,51049,Cumberland County,Cumberland,,,Non-Metro,,Commonwealth Regional Council,,Non-Metro
Virginia,51,51,51051,Dickenson County,Dickenson,,,Non-Metro,,Cumberland Plateau,,Non-Metro
Virginia,51,53,51053,Dinwiddie County,Dinwiddie,40060,,"Richmond, VA",Central,Crater,,Metropolitan Statistical Area
Virginia,51,57,51057,Essex County,Essex,,,Non-Metro,,Middle Peninsula,,Non-Metro
Virginia,51,59,51059,Fairfax County,Fairfax,47900,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,Northern Virginia,,Metropolitan Statistical Area
Virginia,51,61,51061,Fauquier County,Fauquier,47900,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Central,Rappahannock-Rapidan,,Metropolitan Statistical Area
Virginia,51,63,51063,Floyd County,Floyd,,,Non-Metro,,New River Valley,,Non-Metro
Virginia,51,65,51065,Fluvanna County,Fluvanna,16820,,"Charlottesville, VA",Outlying,Thomas Jefferson,,Metropolitan Statistical Area
Virginia,51,67,51067,Franklin County,Franklin,40220,,"Roanoke, VA",Outlying,Roanoke Valley-Alleghany,West Piedmont,Metropolitan Statistical Area
Virginia,51,69,51069,Frederick County,Frederick,49020,,"Winchester, VA-WV",Central,Northern Shenandoah,,Metropolitan Statistical Area
Virginia,51,71,51071,Giles County,Giles,13980,,"Blacksburg-Christiansburg, VA",Outlying,New River Valley,,Metropolitan Statistical Area
Virginia,51,73,51073,Gloucester County,Gloucester,47260,,"Virginia Beach-Norfolk-Newport News, VA-NC",Central,Hampton Roads,,Metropolitan Statistical Area
Virginia,51,75,51075,Goochland County,Goochland,40060,,"Richmond, VA",Outlying,PlanRVA,,Metropolitan Statistical Area
Virginia,51,77,51077,Grayson County,Grayson,,,Non-Metro,,Mount Rogers,,Non-Metro
Virginia,51,79,51079,Greene County,Greene,16820,,"Charlottesville, VA",Outlying,Thomas Jefferson,,Metropolitan Statistical Area
Virginia,51,81,51081,Greensville County,Greensville,,,Non-Metro,,Crater,,Non-Metro
Virginia,51,83,51083,Halifax County,Halifax,,,Non-Metro,,Southside,,Non-Metro
Virginia,51,85,51085,Hanover County,Hanover,40060,,"Richmond, VA",Central,PlanRVA,,Metropolitan Statistical Area
