co_c_number,co_c_name,overall_homeless,sheltered_es_homeless,sheltered_th_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_individuals,sheltered_es_homeless_individuals,sheltered_th_homeless_individuals,sheltered_total_homeless_individuals,unsheltered_homeless_individuals,overall_homeless_people_in_families,sheltered_es_homeless_people_in_families,sheltered_th_homeless_people_in_families,sheltered_total_homeless_people_in_families,unsheltered_homeless_people_in_families,overall_homeless_family_households,sheltered_es_homeless_family_households,sheltered_th_homeless_family_households,sheltered_total_homeless_family_households,unsheltered_homeless_family_households,overall_chronically_homeless_individuals,sheltered_total_chronically_homeless_individuals,unsheltered_chronically_homeless_individuals,year
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",1158,413,601,1014,144,917,323,452,775,142,241,90,149,239,2,102,43,58,101,1,185,43,142,2007
VA-501,"Norfolk,Chesapeake,Suffolk/Isle of Wight, Southampton Counties CoC",699,410,133,543,156,513,306,67,373,140,186,104,66,170,16,76,41,20,61,15,112,74,38,2007
VA-502,Roanoke City & County/Salem CoC,566,334,194,528,38,485,290,157,447,38,81,44,37,81,0,31,17,14,31,0,168,130,38,2007
VA-503,Virginia Beach CoC,476,262,168,430,46,178,117,28,145,33,298,145,140,285,13,94,47,43,90,4,60,41,19,2007
VA-504,Charlottesville CoC,265,152,85,237,28,196,129,39,168,28,69,23,46,69,0,22,4,18,22,0,31,29,2,2007
VA-505,Newport News/Hampton/Virginia Peninsula CoC,908,393,176,569,339,562,262,97,359,203,346,131,79,210,136,100,38,25,63,37,247,107,140,2007
VA-507,Portsmouth CoC,217,97,68,165,52,137,62,23,85,52,80,35,45,80,0,30,17,13,30,0,42,10,32,2007
VA-508,Lynchburg CoC,289,48,50,98,191,224,39,22,61,163,65,9,28,37,28,27,4,11,15,12,59,21,38,2007
VA-513,"Harrisonburg, Winchester/Western Virginia CoC",382,228,98,326,56,195,140,12,152,43,187,88,86,174,13,61,30,23,53,8,36,21,15,2007
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",561,489,26,515,46,88,44,0,44,44,473,445,26,471,2,181,171,9,180,1,65,29,36,2007
VA-521,Virginia Balance of State (BoS) CoC,970,495,212,707,263,505,269,72,341,164,465,226,140,366,99,170,87,50,137,33,96,69,27,2007
VA-600,Arlington County CoC,462,116,127,243,219,325,94,12,106,219,137,22,115,137,0,42,7,35,42,0,273,54,219,2007
VA-601,Fairfax County CoC,1593,462,977,1439,154,647,309,184,493,154,946,153,793,946,0,270,44,226,270,0,335,207,128,2007
VA-602,Loudoun County CoC,211,67,47,114,97,81,9,4,13,68,130,58,43,101,29,38,18,12,30,8,52,3,49,2007
VA-603,City of Alexandria CoC,375,162,121,283,92,230,93,45,138,92,145,69,76,145,0,48,21,27,48,0,114,51,63,2007
VA-604,Prince William County CoC,614,195,161,356,258,240,82,10,92,148,374,113,151,264,110,118,36,46,82,36,88,34,54,2007
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",1073,349,558,907,166,831,257,408,665,166,242,92,150,242,0,89,32,57,89,0,72,39,33,2008
VA-501,"Norfolk,Chesapeake,Suffolk/Isle of Wight, Southampton Counties CoC",602,407,102,509,93,378,284,27,311,67,224,123,75,198,26,78,38,23,61,17,87,61,26,2008
VA-502,Roanoke City & County/Salem CoC,504,368,129,497,7,379,275,97,372,7,125,93,32,125,0,42,31,11,42,0,181,178,3,2008
VA-503,Virginia Beach CoC,484,249,157,406,78,233,127,30,157,76,251,122,127,249,2,80,38,41,79,1,88,42,46,2008
VA-504,Charlottesville CoC,239,156,68,224,15,183,134,34,168,15,56,22,34,56,0,17,7,10,17,0,82,77,5,2008
VA-505,Newport News/Hampton/Virginia Peninsula CoC,526,382,104,486,40,394,330,26,356,38,132,52,78,130,2,43,19,23,42,1,147,117,30,2008
VA-507,Portsmouth CoC,222,121,56,177,45,167,94,28,122,45,55,27,28,55,0,21,9,12,21,0,49,17,32,2008
VA-508,Lynchburg CoC,256,147,64,211,45,133,56,33,89,44,123,91,31,122,1,45,35,9,44,1,53,30,23,2008
VA-513,"Harrisonburg, Winchester/Western Virginia CoC",245,132,56,188,57,108,77,5,82,26,137,55,51,106,31,46,16,16,32,14,41,36,5,2008
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",194,101,26,127,67,123,62,1,63,60,71,39,25,64,7,25,13,9,22,3,54,18,36,2008
VA-521,Virginia Balance of State (BoS) CoC,863,346,213,559,304,443,159,100,259,184,420,187,113,300,120,150,65,41,106,44,115,55,60,2008
VA-600,Arlington County CoC,410,122,109,231,179,284,87,18,105,179,126,35,91,126,0,41,12,29,41,0,156,27,129,2008
VA-601,Fairfax County CoC,1835,658,965,1623,212,744,395,137,532,212,1091,263,828,1091,0,311,74,237,311,0,402,226,176,2008
VA-602,Loudoun County CoC,160,72,64,136,24,43,18,1,19,24,117,54,63,117,0,33,17,16,33,0,21,8,13,2008
